Which are the companies providing internship for mechanical engineering students?,"Hindustan Motors Ltd,  Hyundai Motors India Ltd, Royal Enfield Ltd, Ashok Leyland Ltd, Ennore, Bhusan power steel, Tractor and farm Equipment (TAFE), Tube Investment of India Ltd, Jindal Steel, NTPC,  BHEL, SAIL, ONGC, Larsen & Toubro, BEL, BSNL, IOCL, ISRO. To get placed as an intern, it will be an added advantage if you can provide references of employees you may know who are working with that company. "
What is the scope of Computer Science Engineering?,"“Jobs in government companies such as DRDL, ISRO, ONGC, HCL, ISRO, ECIL and BEL”, “The job profiles offered in public sector are similar to that in private sector enterprises. The main advantage of government sector job is that it provides job security.”, “Graduates in this field can work as technical administrators or researchers in different computer industries.”,  “Majority of graduates in this field pursue their career as a project leaders, junior programmer and system analysts etc.”, “Graduates can also appear for competitive exams conducted by UPSC, SSC etc.”, “Some of the top recruiting companies are:  AT&T, HP, IBM, Dell, Intel, Google, IBM, Yahoo, etc.”"
What is the scope of Electronics and Communication Engineering?,"Electrical engineers are in demand in electricity boards, atomic power plants, hydroelectric power plants, thermal power plants robotics, biomedical electronics, power corporations, hydro-electricity sector, production plants, natural gas plants, petroleum, steel and chemical plants. "
Which are the companies providing internship for Computer Science engineering students?,"Some of the good companies offering training to computer science engineering graduates are:  IBM, TCS, Infosys, HCL, NPCIL, ECIL, NSIC, WEBEL, KREST Technologies, EDGE Technologies, etc."
Which are the companies providing internship for Civil engineering students?,"Some of the good companies offering training to B.Tech Civil engineering graduates include: PWD,  DLF, GAIL, and Danish Constructions.
To get placed as an intern, it will be an added advantage if you can provide references of employees you may know who are working with that company. "
What is the fee structure for B.Tech courses?,"Generally, every college has its own course specific fee structure. In order to know the exact fee it would always be advisable to browse through the official website of the college or contact the officials directly.  But, to provide you an idea, the fee starts around Rs 1 lakh approximately. Click the links below to see the list of B.E./ B.Tech colleges in India charging fees: “up to Rs 1 Lakh”, “up to Rs 2 Lakh”, “up to Rs 5 Lakh”, “up to Rs 10 Lakh”."
How to prepare for engineering entrance exam?,"Guidelines for engineering entrance preparation:
“To ace the exam, you require the right approach along with the right study material and preparation strategy.”, “Stay focused. Plan your preparation after knowing your strengths and weaknesses. You need to be organized and follow a time-table.”, “You may refer to numerous guide books and join a good coaching centre to work on your fundamentals.”, “When you get a grip over the basic syllabus, you may refer to mock tests / previous year’s question papers to analyze your preparation and performance before the final exam.” 
"
Which is the best coaching institute for engineering preparation?,"While selecting the best institute, you need to check some of the important parameters such as batch size, faculty, fee etc. Some of the leading institutes offering engineering test prep coaching are:
“Brilliant Tutorials”, “Aakash Institute”, “Aspire Learning”, “FIITJEE Institute”, “RS Automation Technology”, “Anugraham Classes”, “AIMS Education”"
Is B Tech hard to study?,"No doubt, B. Tech or Engineering is one of the toughest course which the student opt after studying PCM in his/her 12th standard. It directly depends on the branch or the stream which you are opting. If you have a major interest in your subjects then you don't feel it difficult."
Can I take Direct Admission without Entrance?,"In most private engineering colleges, there is a chance for getting direct admission without an entrance test score. Such admissions will be treated as management quota admissions, and the B.Tech fees collected for management quota admissions is higher that entrance-based admissions."
Courses after B.Tech,"“Information Security & Ethical Hacking”, “Red Hat Certified Engineer”, “C”, “ C++”, “ JAVA”, “NET”, “SQL”, “Web Designing”, “Software Testing”, “Networking Professional”,  “Borland Database Engine (BDE)”, “Embedded Technology”, etc."
Which exam is given after the B.tech for Masters?,"The Graduate Aptitude Test in Engineering (GATE) is an examination that primarily tests the comprehensive understanding of various undergraduate subjects in engineering and science. GATE is conducted jointly by the Indian Institute of Science and seven Indian Institutes of Technologies at Roorkee, Delhi, Guwahati, Kanpur, Kharagpur, Chennai (Madras) and Mumbai (Bombay) on behalf of the National Coordination Board – GATE, Department of Higher Education, Ministry of Human Resources Development (MHRD), Government of India."
How Many semesters in the B.tech?,There are 8 semester in the B.Tech.
